GBPNID,PlaceName,GridRef,Lat,Lng,HistCounty,Division,AdCounty,District,UniAuth,Police,Region,Alternative_Names,Type
5647,Bridgefoot,NY0529,54.649044,-3.465314,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
5668,Bridgend,NY3914,54.524945,-2.931431,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
5699,Briery,NY2824,54.607456,-3.107709,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
5703,Brigflatts,SD6491,54.31448,-2.553654,Yorkshire,West Riding,Cumbria,South Lakeland,,Cumbria,England,,Settlement
5707,Brigham,NY0830,54.660083,-3.4229097,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
5708,Brigham,NY2723,54.604625,-3.12234,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
5740,Brigsteer,SD4789,54.298447,-2.802828,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
5796,Brisco,NY4251,54.85738,-2.902997,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
5797,Briscoe,NY0211,54.484845,-3.514207,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
5862,Broad Oak,SD1194,54.340398,-3.365402,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
5862,Oak, Broad,SD1194,54.340398,-3.365402,Cumberland,,Cumbria,Copeland,,Cumbria,England,,Settlement
5960,Broadwath,NY4855,54.890082,-2.802078,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
6018,Brockleymoor,NY4936,54.724535,-2.78949,Cumberland,,Cumbria,Eden,,Cumbria,England,,Settlement
6056,Bromfield,NY1746,54.810461,-3.283036,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
6209,Broom,NY6623,54.601022,-2.527804,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
6235,Broomfield,NY3448,54.822477,-3.0287401,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
6287,Brothybeck,NY3343,54.781154,-3.029264,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
6298,Brough,NY7914,54.526436,-2.3182382,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
6302,Brough Sowerby,NY7912,54.5099,-2.313281,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
6321,Broughton Beck,SD2882,54.234583,-3.104604,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
6323,Broughton Cross,NY0730,54.657959,-3.433854,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
6327,Broughton in Furness,SD2187,54.274055,-3.206251,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
6329,Broughton Mills,SD2290,54.305095,-3.194095,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
6330,Broughton Moor,NY0533,54.686916,-3.470789,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
6343,Brow Edge,SD3584,54.247539,-2.9990304,Lancashire,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
6359,Brownber,NY7005,54.446746,-2.457203,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
6390,Browtop,NY0624,54.610975,-3.454655,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
6431,Brunstock,NY4159,54.926598,-2.912505,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
6626,Buckabank,NY3749,54.833964,-2.979074,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
6775,Bullgill,NY0938,54.732899,-3.404661,Cumberland,,Cumbria,Allerdale,,Cumbria,England,,Settlement
6879,Burgh by Sands,NY3259,54.921218,-3.0588125,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
6954,Burneside,SD5095,54.35203,-2.758483,Westmorland,,Cumbria,South Lakeland,,Cumbria,England,,Settlement
6997,Burnrigg,NY4755,54.893855,-2.815718,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
7044,Burrells,NY6818,54.558758,-2.494794,Westmorland,,Cumbria,Eden,,Cumbria,England,,Settlement
7102,Burtholme,NY5463,54.966233,-2.7115,Cumberland,,Cumbria,Carlisle,,Cumbria,England,,Settlement
